availableScenarioEnergy,configurationSuitability,currentMissionMode,enduranceFeasibility,energyMargin,flightFeasibility,lowBatteryTriggered,missionComplete,missionEnergyTotal,missionTime,remainingScenarioEnergy,returnedEarly,returnEnergyRequired,tier1EnergyIncrement,sentry.thrustMargin,sentry.platform.patrolSpeed,sentry.platform.power.batteryMass,sentry.platform.propulsion.motorSizeFactor,sentry.platform.propulsion.propellerDiameter,sentry.payload.spotlight.spotlightOnLoad,sentry.payload.speaker.speakerOnLoad
2.5200E5,false,MISSION_FAIL,false,-2.6147E5,false,false,false,5.1347E5,0.0000,2.5200E5,true,0.0000,1800.0000,-5.2365,5.5000,0.5000,2.5000,0.2500,35.0000,10.0000
2.5200E5,false,MISSION_FAIL,false,-2.6291E5,false,false,false,5.1491E5,0.0000,2.5200E5,true,0.0000,3240.0000,-5.2365,5.5000,0.5000,2.5000,0.2500,35.0000,18.0000
2.5200E5,false,MISSION_FAIL,false,-2.6435E5,false,false,false,5.1635E5,0.0000,2.5200E5,true,0.0000,4680.0000,-5.2365,5.5000,0.5000,2.5000,0.2500,35.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-2.7789E5,false,false,false,6.3069E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,15.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-2.7933E5,false,false,false,6.3213E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,15.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-2.8077E5,false,false,false,6.3357E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,15.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-2.8089E5,false,false,false,6.3369E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,25.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-2.8233E5,false,false,false,6.3513E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,25.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-2.8377E5,false,false,false,6.3657E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,25.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-2.8389E5,false,false,false,6.3669E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,35.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-2.8533E5,false,false,false,6.3813E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,35.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-2.8677E5,false,false,false,6.3957E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,4.5000,0.7000,2.5000,0.2500,35.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-2.1789E5,false,false,false,5.7069E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,15.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-2.1933E5,false,false,false,5.7213E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,15.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-2.2077E5,false,false,false,5.7357E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,15.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-2.2089E5,false,false,false,5.7369E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,25.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-2.2233E5,false,false,false,5.7513E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,25.0000,18.0000
3.5280E5,false,MISSION_FAIL,false,-2.2377E5,false,false,false,5.7657E5,0.0000,3.5280E5,true,0.0000,4680.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,25.0000,26.0000
3.5280E5,false,MISSION_FAIL,false,-2.2389E5,false,false,false,5.7669E5,0.0000,3.5280E5,true,0.0000,1800.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,35.0000,10.0000
3.5280E5,false,MISSION_FAIL,false,-2.2533E5,false,false,false,5.7813E5,0.0000,3.5280E5,true,0.0000,3240.0000,-7.1985,5.0000,0.7000,2.5000,0.2500,35.0000,18.0000
